Series ID,Year,Period,Label,Value
CES0500000003,2020,M01,2020 Jan,28.43
CES0500000003,2020,M02,2020 Feb,28.56
CES0500000003,2020,M03,2020 Mar,28.79
CES0500000003,2020,M04,2020 Apr,30.01
CES0500000003,2020,M05,2020 May,29.71
CES0500000003,2020,M06,2020 Jun,29.36
CES0500000003,2020,M07,2020 Jul,29.41
CES0500000003,2020,M08,2020 Aug,29.48
CES0500000003,2020,M09,2020 Sep,29.51
CES0500000003,2020,M10,2020 Oct,29.53
CES0500000003,2020,M11,2020 Nov,29.65
CES0500000003,2020,M12,2020 Dec,29.92
CES0500000003,2021,M01,2021 Jan,29.93
CES0500000003,2021,M02,2021 Feb,30.04
CES0500000003,2021,M03,2021 Mar,30.06
CES0500000003,2021,M04,2021 Apr,30.20
CES0500000003,2021,M05,2021 May,30.36
CES0500000003,2021,M06,2021 Jun,30.52
CES0500000003,2021,M07,2021 Jul,30.67
CES0500000003,2021,M08,2021 Aug,30.76
CES0500000003,2021,M09,2021 Sep,30.92
CES0500000003,2021,M10,2021 Oct,31.11
CES0500000003,2021,M11,2021 Nov,31.23
CES0500000003,2021,M12,2021 Dec,31.38
CES0500000003,2022,M01,2022 Jan,31.56
CES0500000003,2022,M02,2022 Feb,31.60
CES0500000003,2022,M03,2022 Mar,31.75
CES0500000003,2022,M04,2022 Apr,31.86
CES0500000003,2022,M05,2022 May,31.98
CES0500000003,2022,M06,2022 Jun,32.08
