Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CUSR0000SA0,2006,M01,2006 Jan,199.3,N/A,0.6
CUSR0000SA0,2006,M02,2006 Feb,199.4,N/A,0.1
CUSR0000SA0,2006,M03,2006 Mar,199.7,N/A,0.2
CUSR0000SA0,2006,M04,2006 Apr,200.7,N/A,0.5
CUSR0000SA0,2006,M05,2006 May,201.3,N/A,0.3
CUSR0000SA0,2006,M06,2006 Jun,201.8,N/A,0.2
CUSR0000SA0,2006,M07,2006 Jul,202.9,N/A,0.5
CUSR0000SA0,2006,M08,2006 Aug,203.8,N/A,0.4
CUSR0000SA0,2006,M09,2006 Sep,202.8,N/A,-0.5
CUSR0000SA0,2006,M10,2006 Oct,201.9,N/A,-0.4
CUSR0000SA0,2006,M11,2006 Nov,202.0,N/A,0.0
CUSR0000SA0,2006,M12,2006 Dec,203.1,N/A,0.5
CUSR0000SA0,2007,M01,2007 Jan,203.437,N/A,0.2
CUSR0000SA0,2007,M02,2007 Feb,204.226,N/A,0.4
CUSR0000SA0,2007,M03,2007 Mar,205.288,N/A,0.5
CUSR0000SA0,2007,M04,2007 Apr,205.904,N/A,0.3
CUSR0000SA0,2007,M05,2007 May,206.755,N/A,0.4
CUSR0000SA0,2007,M06,2007 Jun,207.234,N/A,0.2
CUSR0000SA0,2007,M07,2007 Jul,207.603,N/A,0.2
CUSR0000SA0,2007,M08,2007 Aug,207.667,N/A,0.0
CUSR0000SA0,2007,M09,2007 Sep,208.547,N/A,0.4
CUSR0000SA0,2007,M10,2007 Oct,209.190,N/A,0.3
CUSR0000SA0,2007,M11,2007 Nov,210.834,N/A,0.8
CUSR0000SA0,2007,M12,2007 Dec,211.445,N/A,0.3
CUSR0000SA0,2008,M01,2008 Jan,212.174,N/A,0.3
CUSR0000SA0,2008,M02,2008 Feb,212.687,N/A,0.2
CUSR0000SA0,2008,M03,2008 Mar,213.448,N/A,0.4
CUSR0000SA0,2008,M04,2008 Apr,213.942,N/A,0.2
CUSR0000SA0,2008,M05,2008 May,215.208,N/A,0.6
CUSR0000SA0,2008,M06,2008 Jun,217.463,N/A,1.0
CUSR0000SA0,2008,M07,2008 Jul,219.016,N/A,0.7
CUSR0000SA0,2008,M08,2008 Aug,218.690,N/A,-0.1
CUSR0000SA0,2008,M09,2008 Sep,218.877,N/A,0.1
CUSR0000SA0,2008,M10,2008 Oct,216.995,N/A,-0.9
CUSR0000SA0,2008,M11,2008 Nov,213.153,N/A,-1.8
CUSR0000SA0,2008,M12,2008 Dec,211.398,N/A,-0.8
CUSR0000SA0,2009,M01,2009 Jan,211.933,N/A,0.3
CUSR0000SA0,2009,M02,2009 Feb,212.705,N/A,0.4
CUSR0000SA0,2009,M03,2009 Mar,212.495,N/A,-0.1
CUSR0000SA0,2009,M04,2009 Apr,212.709,N/A,0.1
CUSR0000SA0,2009,M05,2009 May,213.022,N/A,0.1
CUSR0000SA0,2009,M06,2009 Jun,214.790,N/A,0.8
CUSR0000SA0,2009,M07,2009 Jul,214.726,N/A,0.0
CUSR0000SA0,2009,M08,2009 Aug,215.445,N/A,0.3
CUSR0000SA0,2009,M09,2009 Sep,215.861,N/A,0.2
CUSR0000SA0,2009,M10,2009 Oct,216.509,N/A,0.3
CUSR0000SA0,2009,M11,2009 Nov,217.234,N/A,0.3
CUSR0000SA0,2009,M12,2009 Dec,217.347,N/A,0.1
CUSR0000SA0,2010,M01,2010 Jan,217.488,N/A,0.1
CUSR0000SA0,2010,M02,2010 Feb,217.281,N/A,-0.1
CUSR0000SA0,2010,M03,2010 Mar,217.353,N/A,0.0
CUSR0000SA0,2010,M04,2010 Apr,217.403,N/A,0.0
CUSR0000SA0,2010,M05,2010 May,217.290,N/A,-0.1
CUSR0000SA0,2010,M06,2010 Jun,217.199,N/A,0.0
CUSR0000SA0,2010,M07,2010 Jul,217.605,N/A,0.2
CUSR0000SA0,2010,M08,2010 Aug,217.923,N/A,0.1
CUSR0000SA0,2010,M09,2010 Sep,218.275,N/A,0.2
CUSR0000SA0,2010,M10,2010 Oct,219.035,N/A,0.3
CUSR0000SA0,2010,M11,2010 Nov,219.590,N/A,0.3
CUSR0000SA0,2010,M12,2010 Dec,220.472,N/A,0.4
CUSR0000SA0,2011,M01,2011 Jan,221.187,N/A,0.3
CUSR0000SA0,2011,M02,2011 Feb,221.898,N/A,0.3
CUSR0000SA0,2011,M03,2011 Mar,223.046,N/A,0.5
CUSR0000SA0,2011,M04,2011 Apr,224.093,N/A,0.5
CUSR0000SA0,2011,M05,2011 May,224.806,N/A,0.3
CUSR0000SA0,2011,M06,2011 Jun,224.806,N/A,0.0
CUSR0000SA0,2011,M07,2011 Jul,225.395,N/A,0.3
CUSR0000SA0,2011,M08,2011 Aug,226.106,N/A,0.3
CUSR0000SA0,2011,M09,2011 Sep,226.597,N/A,0.2
CUSR0000SA0,2011,M10,2011 Oct,226.750,N/A,0.1
CUSR0000SA0,2011,M11,2011 Nov,227.169,N/A,0.2
CUSR0000SA0,2011,M12,2011 Dec,227.223,N/A,0.0
CUSR0000SA0,2012,M01,2012 Jan,227.842,N/A,0.3
CUSR0000SA0,2012,M02,2012 Feb,228.329,N/A,0.2
CUSR0000SA0,2012,M03,2012 Mar,228.807,N/A,0.2
CUSR0000SA0,2012,M04,2012 Apr,229.187,N/A,0.2
CUSR0000SA0,2012,M05,2012 May,228.713,N/A,-0.2
CUSR0000SA0,2012,M06,2012 Jun,228.524,N/A,-0.1
CUSR0000SA0,2012,M07,2012 Jul,228.590,N/A,0.0
CUSR0000SA0,2012,M08,2012 Aug,229.918,N/A,0.6
CUSR0000SA0,2012,M09,2012 Sep,231.015,N/A,0.5
CUSR0000SA0,2012,M10,2012 Oct,231.638,N/A,0.3
CUSR0000SA0,2012,M11,2012 Nov,231.249,N/A,-0.2
CUSR0000SA0,2012,M12,2012 Dec,231.221,N/A,0.0
CUSR0000SA0,2013,M01,2013 Jan,231.679,N/A,0.2
