Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTS000000000000000HIL,2006,M01,2006 Jan,5271,-23,-0.4
JTS000000000000000HIL,2006,M02,2006 Feb,5474,203,3.9
JTS000000000000000HIL,2006,M03,2006 Mar,5524,50,0.9
JTS000000000000000HIL,2006,M04,2006 Apr,5215,-309,-5.6
JTS000000000000000HIL,2006,M05,2006 May,5498,283,5.4
JTS000000000000000HIL,2006,M06,2006 Jun,5455,-43,-0.8
JTS000000000000000HIL,2006,M07,2006 Jul,5573,118,2.2
JTS000000000000000HIL,2006,M08,2006 Aug,5373,-200,-3.6
JTS000000000000000HIL,2006,M09,2006 Sep,5288,-85,-1.6
JTS000000000000000HIL,2006,M10,2006 Oct,5375,87,1.6
JTS000000000000000HIL,2006,M11,2006 Nov,5495,120,2.2
JTS000000000000000HIL,2006,M12,2006 Dec,5214,-281,-5.1
JTS000000000000000HIL,2007,M01,2007 Jan,5426,212,4.1
JTS000000000000000HIL,2007,M02,2007 Feb,5160,-266,-4.9
JTS000000000000000HIL,2007,M03,2007 Mar,5479,319,6.2
JTS000000000000000HIL,2007,M04,2007 Apr,5353,-126,-2.3
JTS000000000000000HIL,2007,M05,2007 May,5469,116,2.2
JTS000000000000000HIL,2007,M06,2007 Jun,5267,-202,-3.7
JTS000000000000000HIL,2007,M07,2007 Jul,5217,-50,-0.9
JTS000000000000000HIL,2007,M08,2007 Aug,5358,141,2.7
JTS000000000000000HIL,2007,M09,2007 Sep,5344,-14,-0.3
JTS000000000000000HIL,2007,M10,2007 Oct,5398,54,1.0
JTS000000000000000HIL,2007,M11,2007 Nov,5176,-222,-4.1
JTS000000000000000HIL,2007,M12,2007 Dec,5119,-57,-1.1
JTS000000000000000HIL,2008,M01,2008 Jan,5071,-48,-0.9
JTS000000000000000HIL,2008,M02,2008 Feb,5077,6,0.1
JTS000000000000000HIL,2008,M03,2008 Mar,4924,-153,-3.0
JTS000000000000000HIL,2008,M04,2008 Apr,4948,24,0.5
JTS000000000000000HIL,2008,M05,2008 May,4691,-257,-5.2
JTS000000000000000HIL,2008,M06,2008 Jun,4893,202,4.3
JTS000000000000000HIL,2008,M07,2008 Jul,4637,-256,-5.2
JTS000000000000000HIL,2008,M08,2008 Aug,4682,45,1.0
JTS000000000000000HIL,2008,M09,2008 Sep,4499,-183,-3.9
JTS000000000000000HIL,2008,M10,2008 Oct,4548,49,1.1
JTS000000000000000HIL,2008,M11,2008 Nov,4104,-444,-9.8
JTS000000000000000HIL,2008,M12,2008 Dec,4348,244,5.9
