Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTS000000000000000OSL,2006,M01,2006 Jan,331,-66,-16.6
JTS000000000000000OSL,2006,M02,2006 Feb,384,53,16.0
JTS000000000000000OSL,2006,M03,2006 Mar,397,13,3.4
JTS000000000000000OSL,2006,M04,2006 Apr,423,26,6.5
JTS000000000000000OSL,2006,M05,2006 May,435,12,2.8
JTS000000000000000OSL,2006,M06,2006 Jun,412,-23,-5.3
JTS000000000000000OSL,2006,M07,2006 Jul,430,18,4.4
JTS000000000000000OSL,2006,M08,2006 Aug,368,-62,-14.4
JTS000000000000000OSL,2006,M09,2006 Sep,381,13,3.5
JTS000000000000000OSL,2006,M10,2006 Oct,410,29,7.6
JTS000000000000000OSL,2006,M11,2006 Nov,380,-30,-7.3
JTS000000000000000OSL,2006,M12,2006 Dec,367,-13,-3.4
JTS000000000000000OSL,2007,M01,2007 Jan,386,19,5.2
JTS000000000000000OSL,2007,M02,2007 Feb,369,-17,-4.4
JTS000000000000000OSL,2007,M03,2007 Mar,357,-12,-3.3
JTS000000000000000OSL,2007,M04,2007 Apr,367,10,2.8
JTS000000000000000OSL,2007,M05,2007 May,325,-42,-11.4
JTS000000000000000OSL,2007,M06,2007 Jun,353,28,8.6
JTS000000000000000OSL,2007,M07,2007 Jul,378,25,7.1
JTS000000000000000OSL,2007,M08,2007 Aug,335,-43,-11.4
JTS000000000000000OSL,2007,M09,2007 Sep,317,-18,-5.4
JTS000000000000000OSL,2007,M10,2007 Oct,328,11,3.5
JTS000000000000000OSL,2007,M11,2007 Nov,367,39,11.9
JTS000000000000000OSL,2007,M12,2007 Dec,356,-11,-3.0
JTS000000000000000OSL,2008,M01,2008 Jan,313,-43,-12.1
JTS000000000000000OSL,2008,M02,2008 Feb,343,30,9.6
JTS000000000000000OSL,2008,M03,2008 Mar,361,18,5.2
JTS000000000000000OSL,2008,M04,2008 Apr,372,11,3.0
JTS000000000000000OSL,2008,M05,2008 May,294,-78,-21.0
JTS000000000000000OSL,2008,M06,2008 Jun,294,0,0.0
JTS000000000000000OSL,2008,M07,2008 Jul,285,-9,-3.1
JTS000000000000000OSL,2008,M08,2008 Aug,370,85,29.8
JTS000000000000000OSL,2008,M09,2008 Sep,346,-24,-6.5
JTS000000000000000OSL,2008,M10,2008 Oct,368,22,6.4
JTS000000000000000OSL,2008,M11,2008 Nov,372,4,1.1
JTS000000000000000OSL,2008,M12,2008 Dec,309,-63,-16.9
JTS000000000000000OSL,2009,M01,2009 Jan,308,-1,-0.3
JTS000000000000000OSL,2009,M02,2009 Feb,301,-7,-2.3
JTS000000000000000OSL,2009,M03,2009 Mar,311,10,3.3
JTS000000000000000OSL,2009,M04,2009 Apr,324,13,4.2
JTS000000000000000OSL,2009,M05,2009 May,278,-46,-14.2
JTS000000000000000OSL,2009,M06,2009 Jun,288,10,3.6
JTS000000000000000OSL,2009,M07,2009 Jul,283,-5,-1.7
JTS000000000000000OSL,2009,M08,2009 Aug,311,28,9.9
JTS000000000000000OSL,2009,M09,2009 Sep,304,-7,-2.3
JTS000000000000000OSL,2009,M10,2009 Oct,308,4,1.3
JTS000000000000000OSL,2009,M11,2009 Nov,279,-29,-9.4
JTS000000000000000OSL,2009,M12,2009 Dec,300,21,7.5
JTS000000000000000OSL,2010,M01,2010 Jan,317,17,5.7
JTS000000000000000OSL,2010,M02,2010 Feb,343,26,8.2
JTS000000000000000OSL,2010,M03,2010 Mar,310,-33,-9.6
JTS000000000000000OSL,2010,M04,2010 Apr,299,-11,-3.5
JTS000000000000000OSL,2010,M05,2010 May,349,50,16.7
JTS000000000000000OSL,2010,M06,2010 Jun,325,-24,-6.9
JTS000000000000000OSL,2010,M07,2010 Jul,317,-8,-2.5
JTS000000000000000OSL,2010,M08,2010 Aug,321,4,1.3
JTS000000000000000OSL,2010,M09,2010 Sep,318,-3,-0.9
JTS000000000000000OSL,2010,M10,2010 Oct,293,-25,-7.9
JTS000000000000000OSL,2010,M11,2010 Nov,331,38,13.0
JTS000000000000000OSL,2010,M12,2010 Dec,312,-19,-5.7
JTS000000000000000OSL,2011,M01,2011 Jan,342,30,9.6
