Series ID,Year,Period,Label,Value
CES6000000001,2006,M01,2006 Jan,17348
CES6000000001,2006,M02,2006 Feb,17408
CES6000000001,2006,M03,2006 Mar,17495
CES6000000001,2006,M04,2006 Apr,17515
CES6000000001,2006,M05,2006 May,17572
CES6000000001,2006,M06,2006 Jun,17642
CES6000000001,2006,M07,2006 Jul,17682
CES6000000001,2006,M08,2006 Aug,17728
CES6000000001,2006,M09,2006 Sep,17718
CES6000000001,2006,M10,2006 Oct,17722
CES6000000001,2006,M11,2006 Nov,17790
CES6000000001,2006,M12,2006 Dec,17823
CES6000000001,2007,M01,2007 Jan,17887
CES6000000001,2007,M02,2007 Feb,17918
CES6000000001,2007,M03,2007 Mar,17949
CES6000000001,2007,M04,2007 Apr,17966
CES6000000001,2007,M05,2007 May,17999
CES6000000001,2007,M06,2007 Jun,18011
CES6000000001,2007,M07,2007 Jul,18015
CES6000000001,2007,M08,2007 Aug,18025
CES6000000001,2007,M09,2007 Sep,18022
CES6000000001,2007,M10,2007 Oct,18058
CES6000000001,2007,M11,2007 Nov,18059
CES6000000001,2007,M12,2007 Dec,18104
CES6000000001,2008,M01,2008 Jan,18094
CES6000000001,2008,M02,2008 Feb,18046
CES6000000001,2008,M03,2008 Mar,18005
CES6000000001,2008,M04,2008 Apr,17996
CES6000000001,2008,M05,2008 May,17936
CES6000000001,2008,M06,2008 Jun,17896
CES6000000001,2008,M07,2008 Jul,17835
CES6000000001,2008,M08,2008 Aug,17771
CES6000000001,2008,M09,2008 Sep,17700
CES6000000001,2008,M10,2008 Oct,17590
CES6000000001,2008,M11,2008 Nov,17420
CES6000000001,2008,M12,2008 Dec,17287
CES6000000001,2009,M01,2009 Jan,17132
CES6000000001,2009,M02,2009 Feb,16936
CES6000000001,2009,M03,2009 Mar,16787
CES6000000001,2009,M04,2009 Apr,16652
CES6000000001,2009,M05,2009 May,16602
CES6000000001,2009,M06,2009 Jun,16497
CES6000000001,2009,M07,2009 Jul,16474
CES6000000001,2009,M08,2009 Aug,16465
CES6000000001,2009,M09,2009 Sep,16469
CES6000000001,2009,M10,2009 Oct,16488
CES6000000001,2009,M11,2009 Nov,16548
CES6000000001,2009,M12,2009 Dec,16551
CES6000000001,2010,M01,2010 Jan,16572
CES6000000001,2010,M02,2010 Feb,16591
CES6000000001,2010,M03,2010 Mar,16574
CES6000000001,2010,M04,2010 Apr,16666
CES6000000001,2010,M05,2010 May,16702
CES6000000001,2010,M06,2010 Jun,16764
CES6000000001,2010,M07,2010 Jul,16773
CES6000000001,2010,M08,2010 Aug,16833
CES6000000001,2010,M09,2010 Sep,16850
CES6000000001,2010,M10,2010 Oct,16917
CES6000000001,2010,M11,2010 Nov,17011
CES6000000001,2010,M12,2010 Dec,17080
CES6000000001,2011,M01,2011 Jan,17091
CES6000000001,2011,M02,2011 Feb,17170
CES6000000001,2011,M03,2011 Mar,17235
CES6000000001,2011,M04,2011 Apr,17297
CES6000000001,2011,M05,2011 May,17348
CES6000000001,2011,M06,2011 Jun,17363
CES6000000001,2011,M07,2011 Jul,17371
CES6000000001,2011,M08,2011 Aug,17446
CES6000000001,2011,M09,2011 Sep,17510
CES6000000001,2011,M10,2011 Oct,17556
CES6000000001,2011,M11,2011 Nov,17591
CES6000000001,2011,M12,2011 Dec,17658
CES6000000001,2012,M01,2012 Jan,17745
CES6000000001,2012,M02,2012 Feb,17816
CES6000000001,2012,M03,2012 Mar,17848
CES6000000001,2012,M04,2012 Apr,17897
CES6000000001,2012,M05,2012 May,17922
CES6000000001,2012,M06,2012 Jun,17977
CES6000000001,2012,M07,2012 Jul,18020
CES6000000001,2012,M08,2012 Aug,18052
CES6000000001,2012,M09,2012 Sep,18066
CES6000000001,2012,M10,2012 Oct,18139
CES6000000001,2012,M11,2012 Nov,18193
CES6000000001,2012,M12,2012 Dec,18230
CES6000000001,2013,M01,2013 Jan,18273
CES6000000001,2013,M02,2013 Feb,18367
CES6000000001,2013,M03,2013 Mar,18421
CES6000000001,2013,M04,2013 Apr,18483
CES6000000001,2013,M05,2013 May,18537
CES6000000001,2013,M06,2013 Jun,18582
CES6000000001,2013,M07,2013 Jul,18629
CES6000000001,2013,M08,2013 Aug,18655
CES6000000001,2013,M09,2013 Sep,18683
CES6000000001,2013,M10,2013 Oct,18732
CES6000000001,2013,M11,2013 Nov,18801
CES6000000001,2013,M12,2013 Dec,18790
CES6000000001,2014,M01,2014 Jan,18837
CES6000000001,2014,M02,2014 Feb,18899
CES6000000001,2014,M03,2014 Mar,18944
CES6000000001,2014,M04,2014 Apr,19002
CES6000000001,2014,M05,2014 May,19044
CES6000000001,2014,M06,2014 Jun,19105
CES6000000001,2014,M07,2014 Jul,19142
CES6000000001,2014,M08,2014 Aug,19201
CES6000000001,2014,M09,2014 Sep,19257
CES6000000001,2014,M10,2014 Oct,19285
CES6000000001,2014,M11,2014 Nov,19339
CES6000000001,2014,M12,2014 Dec,19418
CES6000000001,2015,M01,2015 Jan,19442
CES6000000001,2015,M02,2015 Feb,19487
CES6000000001,2015,M03,2015 Mar,19513
CES6000000001,2015,M04,2015 Apr,19557
CES6000000001,2015,M05,2015 May,19638
CES6000000001,2015,M06,2015 Jun,19689
CES6000000001,2015,M07,2015 Jul,19726
CES6000000001,2015,M08,2015 Aug,19755
CES6000000001,2015,M09,2015 Sep,19778
CES6000000001,2015,M10,2015 Oct,19851
CES6000000001,2015,M11,2015 Nov,19885
CES6000000001,2015,M12,2015 Dec,19955
CES6000000001,2016,M01,2016 Jan,19965
CES6000000001,2016,M02,2016 Feb,19977
CES6000000001,2016,M03,2016 Mar,19999
CES6000000001,2016,M04,2016 Apr,20031
CES6000000001,2016,M05,2016 May,20035
CES6000000001,2016,M06,2016 Jun,20080
CES6000000001,2016,M07,2016 Jul,20126
CES6000000001,2016,M08,2016 Aug,20127
CES6000000001,2016,M09,2016 Sep,20194
CES6000000001,2016,M10,2016 Oct,20217
CES6000000001,2016,M11,2016 Nov,20255
CES6000000001,2016,M12,2016 Dec,20287
CES6000000001,2017,M01,2017 Jan,20328
CES6000000001,2017,M02,2017 Feb,20346
CES6000000001,2017,M03,2017 Mar,20375
CES6000000001,2017,M04,2017 Apr,20407
CES6000000001,2017,M05,2017 May,20469
CES6000000001,2017,M06,2017 Jun,20504
CES6000000001,2017,M07,2017 Jul,20545
CES6000000001,2017,M08,2017 Aug,20584
CES6000000001,2017,M09,2017 Sep,20579
CES6000000001,2017,M10,2017 Oct,20619
CES6000000001,2017,M11,2017 Nov,20635
CES6000000001,2017,M12,2017 Dec,20673
CES6000000001,2018,M01,2018 Jan,20721
CES6000000001,2018,M02,2018 Feb,20771
CES6000000001,2018,M03,2018 Mar,20819
CES6000000001,2018,M04,2018 Apr,20869
CES6000000001,2018,M05,2018 May,20924
CES6000000001,2018,M06,2018 Jun,20963
CES6000000001,2018,M07,2018 Jul,20980
CES6000000001,2018,M08,2018 Aug,21016
CES6000000001,2018,M09,2018 Sep,21047
CES6000000001,2018,M10,2018 Oct,21073
CES6000000001,2018,M11,2018 Nov,21089
CES6000000001,2018,M12,2018 Dec,21118
CES6000000001,2019,M01,2019 Jan,21098
CES6000000001,2019,M02,2019 Feb,21140
CES6000000001,2019,M03,2019 Mar,21168
CES6000000001,2019,M04,2019 Apr,21215
CES6000000001,2019,M05,2019 May,21247
CES6000000001,2019,M06,2019 Jun,21294
CES6000000001,2019,M07,2019 Jul,21318
CES6000000001,2019,M08,2019 Aug,21337
CES6000000001,2019,M09,2019 Sep,21350
CES6000000001,2019,M10,2019 Oct,21360
CES6000000001,2019,M11,2019 Nov,21393
CES6000000001,2019,M12,2019 Dec,21396
CES6000000001,2020,M01,2020 Jan,21371
CES6000000001,2020,M02,2020 Feb,21393
CES6000000001,2020,M03,2020 Mar,21308
CES6000000001,2020,M04,2020 Apr,19091
CES6000000001,2020,M05,2020 May,19294
CES6000000001,2020,M06,2020 Jun,19651
CES6000000001,2020,M07,2020 Jul,19836
CES6000000001,2020,M08,2020 Aug,20026
CES6000000001,2020,M09,2020 Sep,20154
CES6000000001,2020,M10,2020 Oct,20374
CES6000000001,2020,M11,2020 Nov,20525
CES6000000001,2020,M12,2020 Dec,20689
CES6000000001,2021,M01,2021 Jan,20800
CES6000000001,2021,M02,2021 Feb,20902
CES6000000001,2021,M03,2021 Mar,21021
CES6000000001,2021,M04,2021 Apr,20943
CES6000000001,2021,M05,2021 May,21023
CES6000000001,2021,M06,2021 Jun,21084
CES6000000001,2021,M07,2021 Jul,21226
CES6000000001,2021,M08,2021 Aug,21309
CES6000000001,2021,M09,2021 Sep,21383
CES6000000001,2021,M10,2021 Oct,21619
CES6000000001,2021,M11,2021 Nov,21730
CES6000000001,2021,M12,2021 Dec,21821
CES6000000001,2022,M01,2022 Jan,21909
CES6000000001,2022,M02,2022 Feb,21996
CES6000000001,2022,M03,2022 Mar,22090
CES6000000001,2022,M04,2022 Apr,22130
CES6000000001,2022,M05,2022 May,22199
CES6000000001,2022,M06,2022 Jun,22273
